nama;tempat_lahir;tanggal_lahir;nisn;nis;kelas;tingkatan_kelas;alamat;kontak;foto;nama_ibu;nama_ayah;jenis_kelamin;walikelas_id
SISWA 152;Kota 30;18/01/2009;12345060;6789060;XII-A;XII;Jl. Dummy No.30;81211362755;;Ibu Dummy 30;Ayah Dummy 30;L;3
SISWA 153;Kota 31;07/03/2010;12345061;6789061;XII-B;XII;Jl. Dummy No.31;81176476455;;Ibu Dummy 31;Ayah Dummy 31;P;1
SISWA 154;Kota 32;24/04/2011;12345062;6789062;XII-A;XII;Jl. Dummy No.32;81141590155;;Ibu Dummy 32;Ayah Dummy 32;L;2
SISWA 155;Kota 33;10/06/2012;12345063;6789063;XII-B;XII;Jl. Dummy No.33;81106703855;;Ibu Dummy 33;Ayah Dummy 33;P;3
SISWA 156;Kota 34;28/07/2013;12345064;6789064;XII-A;XII;Jl. Dummy No.34;81071817555;;Ibu Dummy 34;Ayah Dummy 34;L;1
SISWA 157;Kota 35;14/09/2014;12345065;6789065;XII-B;XII;Jl. Dummy No.35;81036931255;;Ibu Dummy 35;Ayah Dummy 35;P;2
SISWA 158;Kota 36;01/11/2015;12345066;6789066;XII-A;XII;Jl. Dummy No.36;81002044955;;Ibu Dummy 36;Ayah Dummy 36;L;3
SISWA 159;Kota 37;18/12/2016;12345067;6789067;XII-B;XII;Jl. Dummy No.37;80967158655;;Ibu Dummy 37;Ayah Dummy 37;P;1
SISWA 160;Kota 38;04/02/2018;12345068;6789068;XII-A;XII;Jl. Dummy No.38;80932272355;;Ibu Dummy 38;Ayah Dummy 38;L;2
SISWA 161;Kota 39;24/03/2019;12345069;6789069;XII-B;XII;Jl. Dummy No.39;80897386055;;Ibu Dummy 39;Ayah Dummy 39;P;3
SISWA 162;Kota 40;10/05/2020;12345070;6789070;XII-A;XII;Jl. Dummy No.40;80862499755;;Ibu Dummy 40;Ayah Dummy 40;L;1
SISWA 163;Kota 41;27/06/2021;12345071;6789071;XII-B;XII;Jl. Dummy No.41;80827613455;;Ibu Dummy 41;Ayah Dummy 41;P;2
SISWA 164;Kota 42;14/08/2022;12345072;6789072;XII-A;XII;Jl. Dummy No.42;80792727155;;Ibu Dummy 42;Ayah Dummy 42;L;3
SISWA 165;Kota 43;01/10/2023;12345073;6789073;XII-B;XII;Jl. Dummy No.43;80757840855;;Ibu Dummy 43;Ayah Dummy 43;P;1
SISWA 166;Kota 44;17/11/2024;12345074;6789074;XII-A;XII;Jl. Dummy No.44;80722954555;;Ibu Dummy 44;Ayah Dummy 44;L;2
SISWA 167;Kota 45;04/01/2026;12345075;6789075;XII-B;XII;Jl. Dummy No.45;80688068255;;Ibu Dummy 45;Ayah Dummy 45;P;3
SISWA 168;Kota 46;21/02/2027;12345076;6789076;XII-A;XII;Jl. Dummy No.46;80653181955;;Ibu Dummy 46;Ayah Dummy 46;L;1
SISWA 169;Kota 47;09/04/2028;12345077;6789077;XII-B;XII;Jl. Dummy No.47;80618295655;;Ibu Dummy 47;Ayah Dummy 47;P;2
SISWA 170;Kota 48;27/05/2029;12345078;6789078;XII-A;XII;Jl. Dummy No.48;80583409355;;Ibu Dummy 48;Ayah Dummy 48;L;3
SISWA 171;Kota 49;14/07/2030;12345079;6789079;XII-B;XII;Jl. Dummy No.49;80548523055;;Ibu Dummy 49;Ayah Dummy 49;P;1
SISWA 172;Kota 50;31/08/2031;12345080;6789080;XII-A;XII;Jl. Dummy No.50;80513636755;;Ibu Dummy 50;Ayah Dummy 50;L;2
SISWA 173;Kota 51;17/10/2032;12345081;6789081;XII-B;XII;Jl. Dummy No.51;80478750455;;Ibu Dummy 51;Ayah Dummy 51;P;3
SISWA 174;Kota 52;04/12/2033;12345082;6789082;XII-A;XII;Jl. Dummy No.52;80443864155;;Ibu Dummy 52;Ayah Dummy 52;L;1
SISWA 175;Kota 53;21/01/2035;12345083;6789083;XII-B;XII;Jl. Dummy No.53;80408977855;;Ibu Dummy 53;Ayah Dummy 53;P;2
SISWA 176;Kota 54;09/03/2036;12345084;6789084;XII-A;XII;Jl. Dummy No.54;80374091555;;Ibu Dummy 54;Ayah Dummy 54;L;3
SISWA 177;Kota 55;26/04/2037;12345085;6789085;XII-B;XII;Jl. Dummy No.55;80339205255;;Ibu Dummy 55;Ayah Dummy 55;P;1
SISWA 178;Kota 56;13/06/2038;12345086;6789086;XII-A;XII;Jl. Dummy No.56;80304318955;;Ibu Dummy 56;Ayah Dummy 56;L;2
SISWA 179;Kota 57;31/07/2039;12345087;6789087;XII-B;XII;Jl. Dummy No.57;80269432655;;Ibu Dummy 57;Ayah Dummy 57;P;3
SISWA 180;Kota 58;16/09/2040;12345088;6789088;XII-A;XII;Jl. Dummy No.58;80234546355;;Ibu Dummy 58;Ayah Dummy 58;L;1
SISWA 181;Kota 59;03/11/2041;12345089;6789089;XII-B;XII;Jl. Dummy No.59;80199660055;;Ibu Dummy 59;Ayah Dummy 59;P;2
SISWA 182;Kota 60;21/12/2042;12345090;6789090;XII-A;XII;Jl. Dummy No.60;80164773755;;Ibu Dummy 60;Ayah Dummy 60;L;3
SISWA 183;Kota 61;07/02/2044;12345091;6789091;XII-B;XII;Jl. Dummy No.61;80129887455;;Ibu Dummy 61;Ayah Dummy 61;P;1
SISWA 184;Kota 62;26/03/2045;12345092;6789092;XII-A;XII;Jl. Dummy No.62;80095001155;;Ibu Dummy 62;Ayah Dummy 62;L;2
SISWA 185;Kota 63;13/05/2046;12345093;6789093;XII-B;XII;Jl. Dummy No.63;80060114855;;Ibu Dummy 63;Ayah Dummy 63;P;3
SISWA 186;Kota 64;30/06/2047;12345094;6789094;XII-A;XII;Jl. Dummy No.64;80025228555;;Ibu Dummy 64;Ayah Dummy 64;L;1
SISWA 187;Kota 65;16/08/2048;12345095;6789095;XII-B;XII;Jl. Dummy No.65;79990342255;;Ibu Dummy 65;Ayah Dummy 65;P;2
SISWA 188;Kota 66;03/10/2049;12345096;6789096;XII-A;XII;Jl. Dummy No.66;79955455955;;Ibu Dummy 66;Ayah Dummy 66;L;3
SISWA 189;Kota 67;20/11/2050;12345097;6789097;XII-B;XII;Jl. Dummy No.67;79920569655;;Ibu Dummy 67;Ayah Dummy 67;P;1
SISWA 190;Kota 68;07/01/2052;12345098;6789098;XII-A;XII;Jl. Dummy No.68;79885683355;;Ibu Dummy 68;Ayah Dummy 68;L;2
SISWA 191;Kota 69;23/02/2053;12345099;6789099;XII-B;XII;Jl. Dummy No.69;79850797055;;Ibu Dummy 69;Ayah Dummy 69;P;3
SISWA 192;Kota 70;12/04/2054;12345100;6789100;XII-A;XII;Jl. Dummy No.70;79815910755;;Ibu Dummy 70;Ayah Dummy 70;L;1
SISWA 193;Kota 71;30/05/2055;12345101;6789101;XII-B;XII;Jl. Dummy No.71;79781024455;;Ibu Dummy 71;Ayah Dummy 71;P;2
SISWA 194;Kota 72;16/07/2056;12345102;6789102;XII-A;XII;Jl. Dummy No.72;79746138155;;Ibu Dummy 72;Ayah Dummy 72;L;3
SISWA 195;Kota 73;02/09/2057;12345103;6789103;XII-B;XII;Jl. Dummy No.73;79711251855;;Ibu Dummy 73;Ayah Dummy 73;P;1
SISWA 196;Kota 74;20/10/2058;12345104;6789104;XII-A;XII;Jl. Dummy No.74;79676365555;;Ibu Dummy 74;Ayah Dummy 74;L;2
SISWA 197;Kota 75;07/12/2059;12345105;6789105;XII-B;XII;Jl. Dummy No.75;79641479255;;Ibu Dummy 75;Ayah Dummy 75;P;3
SISWA 198;Kota 76;23/01/2061;12345106;6789106;XII-A;XII;Jl. Dummy No.76;79606592955;;Ibu Dummy 76;Ayah Dummy 76;L;1
SISWA 199;Kota 77;12/03/2062;12345107;6789107;XII-B;XII;Jl. Dummy No.77;79571706655;;Ibu Dummy 77;Ayah Dummy 77;P;2
SISWA 200;Kota 78;29/04/2063;12345108;6789108;XII-A;XII;Jl. Dummy No.78;79536820355;;Ibu Dummy 78;Ayah Dummy 78;L;3
SISWA 201;Kota 79;15/06/2064;12345109;6789109;XII-B;XII;Jl. Dummy No.79;79501934055;;Ibu Dummy 79;Ayah Dummy 79;P;1
SISWA 202;Kota 80;02/08/2065;12345110;6789110;XII-A;XII;Jl. Dummy No.80;79467047755;;Ibu Dummy 80;Ayah Dummy 80;L;2
SISWA 203;Kota 81;19/09/2066;12345111;6789111;XII-B;XII;Jl. Dummy No.81;79432161455;;Ibu Dummy 81;Ayah Dummy 81;P;3
SISWA 204;Kota 82;06/11/2067;12345112;6789112;XII-A;XII;Jl. Dummy No.82;79397275155;;Ibu Dummy 82;Ayah Dummy 82;L;1
SISWA 205;Kota 83;23/12/2068;12345113;6789113;XII-B;XII;Jl. Dummy No.83;79362388855;;Ibu Dummy 83;Ayah Dummy 83;P;2
SISWA 206;Kota 84;09/02/2070;12345114;6789114;XII-A;XII;Jl. Dummy No.84;79327502555;;Ibu Dummy 84;Ayah Dummy 84;L;3
SISWA 207;Kota 85;29/03/2071;12345115;6789115;XII-B;XII;Jl. Dummy No.85;79292616255;;Ibu Dummy 85;Ayah Dummy 85;P;1
SISWA 208;Kota 86;15/05/2072;12345116;6789116;XII-A;XII;Jl. Dummy No.86;79257729955;;Ibu Dummy 86;Ayah Dummy 86;L;2
SISWA 209;Kota 87;02/07/2073;12345117;6789117;XII-B;XII;Jl. Dummy No.87;79222843655;;Ibu Dummy 87;Ayah Dummy 87;P;3
SISWA 210;Kota 88;19/08/2074;12345118;6789118;XII-A;XII;Jl. Dummy No.88;79187957355;;Ibu Dummy 88;Ayah Dummy 88;L;1
SISWA 211;Kota 89;06/10/2075;12345119;6789119;XII-B;XII;Jl. Dummy No.89;79153071055;;Ibu Dummy 89;Ayah Dummy 89;P;2
SISWA 212;Kota 90;22/11/2076;12345120;6789120;XII-A;XII;Jl. Dummy No.90;79118184755;;Ibu Dummy 90;Ayah Dummy 90;L;3
SISWA 213;Kota 91;09/01/2078;12345121;6789121;XII-B;XII;Jl. Dummy No.91;79083298455;;Ibu Dummy 91;Ayah Dummy 91;P;1
SISWA 214;Kota 92;26/02/2079;12345122;6789122;XII-A;XII;Jl. Dummy No.92;79048412155;;Ibu Dummy 92;Ayah Dummy 92;L;2
SISWA 215;Kota 93;14/04/2080;12345123;6789123;XII-B;XII;Jl. Dummy No.93;79013525855;;Ibu Dummy 93;Ayah Dummy 93;P;3
SISWA 216;Kota 94;01/06/2081;12345124;6789124;XII-A;XII;Jl. Dummy No.94;78978639555;;Ibu Dummy 94;Ayah Dummy 94;L;1
SISWA 217;Kota 95;19/07/2082;12345125;6789125;XII-B;XII;Jl. Dummy No.95;78943753255;;Ibu Dummy 95;Ayah Dummy 95;P;2
SISWA 218;Kota 96;05/09/2083;12345126;6789126;XII-A;XII;Jl. Dummy No.96;78908866955;;Ibu Dummy 96;Ayah Dummy 96;L;3
SISWA 219;Kota 97;22/10/2084;12345127;6789127;XII-B;XII;Jl. Dummy No.97;78873980655;;Ibu Dummy 97;Ayah Dummy 97;P;1
SISWA 220;Kota 98;09/12/2085;12345128;6789128;XII-A;XII;Jl. Dummy No.98;78839094355;;Ibu Dummy 98;Ayah Dummy 98;L;2
SISWA 221;Kota 99;26/01/2087;12345129;6789129;XII-B;XII;Jl. Dummy No.99;78804208055;;Ibu Dummy 99;Ayah Dummy 99;P;3
SISWA 222;Kota 100;14/03/2088;12345130;6789130;XII-A;XII;Jl. Dummy No.100;78769321755;;Ibu Dummy 100;Ayah Dummy 100;L;1
SISWA 223;Kota 101;01/05/2089;12345131;6789131;XII-B;XII;Jl. Dummy No.101;78734435455;;Ibu Dummy 101;Ayah Dummy 101;P;2
SISWA 224;Kota 102;18/06/2090;12345132;6789132;XII-A;XII;Jl. Dummy No.102;78699549155;;Ibu Dummy 102;Ayah Dummy 102;L;3
SISWA 225;Kota 103;05/08/2091;12345133;6789133;XII-B;XII;Jl. Dummy No.103;78664662855;;Ibu Dummy 103;Ayah Dummy 103;P;1
SISWA 226;Kota 104;21/09/2092;12345134;6789134;XII-A;XII;Jl. Dummy No.104;78629776555;;Ibu Dummy 104;Ayah Dummy 104;L;2
SISWA 227;Kota 105;08/11/2093;12345135;6789135;XII-B;XII;Jl. Dummy No.105;78594890255;;Ibu Dummy 105;Ayah Dummy 105;P;3
SISWA 228;Kota 106;26/12/2094;12345136;6789136;XII-A;XII;Jl. Dummy No.106;78560003955;;Ibu Dummy 106;Ayah Dummy 106;L;1
SISWA 229;Kota 107;12/02/2096;12345137;6789137;XII-B;XII;Jl. Dummy No.107;78525117655;;Ibu Dummy 107;Ayah Dummy 107;P;2
SISWA 230;Kota 108;31/03/2097;12345138;6789138;XII-A;XII;Jl. Dummy No.108;78490231355;;Ibu Dummy 108;Ayah Dummy 108;L;3
SISWA 231;Kota 109;18/05/2098;12345139;6789139;XII-B;XII;Jl. Dummy No.109;78455345055;;Ibu Dummy 109;Ayah Dummy 109;P;1
SISWA 232;Kota 110;05/07/2099;12345140;6789140;XII-A;XII;Jl. Dummy No.110;78420458755;;Ibu Dummy 110;Ayah Dummy 110;L;2
SISWA 233;Kota 111;22/08/2100;12345141;6789141;XII-B;XII;Jl. Dummy No.111;78385572455;;Ibu Dummy 111;Ayah Dummy 111;P;3
SISWA 234;Kota 112;09/10/2101;12345142;6789142;XII-A;XII;Jl. Dummy No.112;78350686155;;Ibu Dummy 112;Ayah Dummy 112;L;1
SISWA 235;Kota 113;26/11/2102;12345143;6789143;XII-B;XII;Jl. Dummy No.113;78315799855;;Ibu Dummy 113;Ayah Dummy 113;P;2
SISWA 236;Kota 114;13/01/2104;12345144;6789144;XII-A;XII;Jl. Dummy No.114;78280913555;;Ibu Dummy 114;Ayah Dummy 114;L;3
SISWA 237;Kota 115;01/03/2105;12345145;6789145;XII-B;XII;Jl. Dummy No.115;78246027255;;Ibu Dummy 115;Ayah Dummy 115;P;1
SISWA 238;Kota 116;18/04/2106;12345146;6789146;XII-A;XII;Jl. Dummy No.116;78211140955;;Ibu Dummy 116;Ayah Dummy 116;L;2
SISWA 239;Kota 117;05/06/2107;12345147;6789147;XII-B;XII;Jl. Dummy No.117;78176254655;;Ibu Dummy 117;Ayah Dummy 117;P;3
SISWA 240;Kota 118;22/07/2108;12345148;6789148;XII-A;XII;Jl. Dummy No.118;78141368355;;Ibu Dummy 118;Ayah Dummy 118;L;1
SISWA 241;Kota 119;08/09/2109;12345149;6789149;XII-B;XII;Jl. Dummy No.119;78106482055;;Ibu Dummy 119;Ayah Dummy 119;P;2
SISWA 242;Kota 120;26/10/2110;12345150;6789150;XII-A;XII;Jl. Dummy No.120;78071595755;;Ibu Dummy 120;Ayah Dummy 120;L;3
SISWA 243;Kota 121;13/12/2111;12345151;6789151;XII-B;XII;Jl. Dummy No.121;78036709455;;Ibu Dummy 121;Ayah Dummy 121;P;1
SISWA 244;Kota 122;29/01/2113;12345152;6789152;XII-A;XII;Jl. Dummy No.122;78001823155;;Ibu Dummy 122;Ayah Dummy 122;L;2
SISWA 245;Kota 123;18/03/2114;12345153;6789153;XII-B;XII;Jl. Dummy No.123;77966936855;;Ibu Dummy 123;Ayah Dummy 123;P;3
SISWA 246;Kota 124;05/05/2115;12345154;6789154;XII-A;XII;Jl. Dummy No.124;77932050555;;Ibu Dummy 124;Ayah Dummy 124;L;1
SISWA 247;Kota 125;21/06/2116;12345155;6789155;XII-B;XII;Jl. Dummy No.125;77897164255;;Ibu Dummy 125;Ayah Dummy 125;P;2
SISWA 248;Kota 126;08/08/2117;12345156;6789156;XII-A;XII;Jl. Dummy No.126;77862277955;;Ibu Dummy 126;Ayah Dummy 126;L;3
SISWA 249;Kota 127;25/09/2118;12345157;6789157;XII-B;XII;Jl. Dummy No.127;77827391655;;Ibu Dummy 127;Ayah Dummy 127;P;1
SISWA 250;Kota 128;12/11/2119;12345158;6789158;XII-A;XII;Jl. Dummy No.128;77792505355;;Ibu Dummy 128;Ayah Dummy 128;L;2
SISWA 251;Kota 129;29/12/2120;12345159;6789159;XII-B;XII;Jl. Dummy No.129;77757619055;;Ibu Dummy 129;Ayah Dummy 129;P;3
SISWA 252;Kota 130;15/02/2122;12345160;6789160;XII-A;XII;Jl. Dummy No.130;77722732755;;Ibu Dummy 130;Ayah Dummy 130;L;1
SISWA 253;Kota 131;04/04/2123;12345161;6789161;XII-B;XII;Jl. Dummy No.131;77687846455;;Ibu Dummy 131;Ayah Dummy 131;P;2
SISWA 254;Kota 132;21/05/2124;12345162;6789162;XII-A;XII;Jl. Dummy No.132;77652960155;;Ibu Dummy 132;Ayah Dummy 132;L;3
SISWA 255;Kota 133;08/07/2125;12345163;6789163;XII-B;XII;Jl. Dummy No.133;77618073855;;Ibu Dummy 133;Ayah Dummy 133;P;1
SISWA 256;Kota 134;25/08/2126;12345164;6789164;XII-A;XII;Jl. Dummy No.134;77583187555;;Ibu Dummy 134;Ayah Dummy 134;L;2
SISWA 257;Kota 135;12/10/2127;12345165;6789165;XII-B;XII;Jl. Dummy No.135;77548301255;;Ibu Dummy 135;Ayah Dummy 135;P;3
SISWA 258;Kota 136;28/11/2128;12345166;6789166;XII-A;XII;Jl. Dummy No.136;77513414955;;Ibu Dummy 136;Ayah Dummy 136;L;1
SISWA 259;Kota 137;15/01/2130;12345167;6789167;XII-B;XII;Jl. Dummy No.137;77478528655;;Ibu Dummy 137;Ayah Dummy 137;P;2
SISWA 260;Kota 138;04/03/2131;12345168;6789168;XII-A;XII;Jl. Dummy No.138;77443642355;;Ibu Dummy 138;Ayah Dummy 138;L;3
SISWA 261;Kota 139;20/04/2132;12345169;6789169;XII-B;XII;Jl. Dummy No.139;77408756055;;Ibu Dummy 139;Ayah Dummy 139;P;1
SISWA 262;Kota 140;07/06/2133;12345170;6789170;XII-A;XII;Jl. Dummy No.140;77373869755;;Ibu Dummy 140;Ayah Dummy 140;L;2
SISWA 263;Kota 141;25/07/2134;12345171;6789171;XII-B;XII;Jl. Dummy No.141;77338983455;;Ibu Dummy 141;Ayah Dummy 141;P;3
SISWA 264;Kota 142;11/09/2135;12345172;6789172;XII-A;XII;Jl. Dummy No.142;77304097155;;Ibu Dummy 142;Ayah Dummy 142;L;1
SISWA 265;Kota 143;28/10/2136;12345173;6789173;XII-B;XII;Jl. Dummy No.143;77269210855;;Ibu Dummy 143;Ayah Dummy 143;P;2
SISWA 266;Kota 144;15/12/2137;12345174;6789174;XII-A;XII;Jl. Dummy No.144;77234324555;;Ibu Dummy 144;Ayah Dummy 144;L;3
SISWA 267;Kota 145;01/02/2139;12345175;6789175;XII-B;XII;Jl. Dummy No.145;77199438255;;Ibu Dummy 145;Ayah Dummy 145;P;1
SISWA 268;Kota 146;20/03/2140;12345176;6789176;XII-A;XII;Jl. Dummy No.146;77164551955;;Ibu Dummy 146;Ayah Dummy 146;L;2
SISWA 269;Kota 147;07/05/2141;12345177;6789177;XII-B;XII;Jl. Dummy No.147;77129665655;;Ibu Dummy 147;Ayah Dummy 147;P;3
SISWA 270;Kota 148;24/06/2142;12345178;6789178;XII-A;XII;Jl. Dummy No.148;77094779355;;Ibu Dummy 148;Ayah Dummy 148;L;1
SISWA 271;Kota 149;11/08/2143;12345179;6789179;XII-B;XII;Jl. Dummy No.149;77059893055;;Ibu Dummy 149;Ayah Dummy 149;P;2
SISWA 272;Kota 150;27/09/2144;12345180;6789180;XII-A;XII;Jl. Dummy No.150;77025006755;;Ibu Dummy 150;Ayah Dummy 150;L;3
SISWA 273;Kota 151;14/11/2145;12345181;6789181;XII-B;XII;Jl. Dummy No.151;76990120455;;Ibu Dummy 151;Ayah Dummy 151;P;1
SISWA 274;Kota 152;01/01/2147;12345182;6789182;XII-A;XII;Jl. Dummy No.152;76955234155;;Ibu Dummy 152;Ayah Dummy 152;L;2
SISWA 275;Kota 153;18/02/2148;12345183;6789183;XII-B;XII;Jl. Dummy No.153;76920347855;;Ibu Dummy 153;Ayah Dummy 153;P;3
SISWA 276;Kota 154;06/04/2149;12345184;6789184;XII-A;XII;Jl. Dummy No.154;76885461555;;Ibu Dummy 154;Ayah Dummy 154;L;1
SISWA 277;Kota 155;24/05/2150;12345185;6789185;XII-B;XII;Jl. Dummy No.155;76850575255;;Ibu Dummy 155;Ayah Dummy 155;P;2
SISWA 278;Kota 156;11/07/2151;12345186;6789186;XII-A;XII;Jl. Dummy No.156;76815688955;;Ibu Dummy 156;Ayah Dummy 156;L;3
SISWA 279;Kota 157;27/08/2152;12345187;6789187;XII-B;XII;Jl. Dummy No.157;76780802655;;Ibu Dummy 157;Ayah Dummy 157;P;1
SISWA 280;Kota 158;14/10/2153;12345188;6789188;XII-A;XII;Jl. Dummy No.158;76745916355;;Ibu Dummy 158;Ayah Dummy 158;L;2
SISWA 281;Kota 159;01/12/2154;12345189;6789189;XII-B;XII;Jl. Dummy No.159;76711030055;;Ibu Dummy 159;Ayah Dummy 159;P;3
SISWA 282;Kota 160;18/01/2156;12345190;6789190;XII-A;XII;Jl. Dummy No.160;76676143755;;Ibu Dummy 160;Ayah Dummy 160;L;1
SISWA 283;Kota 161;06/03/2157;12345191;6789191;XII-B;XII;Jl. Dummy No.161;76641257455;;Ibu Dummy 161;Ayah Dummy 161;P;2
SISWA 284;Kota 162;23/04/2158;12345192;6789192;XII-A;XII;Jl. Dummy No.162;76606371155;;Ibu Dummy 162;Ayah Dummy 162;L;3
SISWA 285;Kota 163;10/06/2159;12345193;6789193;XII-B;XII;Jl. Dummy No.163;76571484855;;Ibu Dummy 163;Ayah Dummy 163;P;1
SISWA 286;Kota 164;27/07/2160;12345194;6789194;XII-A;XII;Jl. Dummy No.164;76536598555;;Ibu Dummy 164;Ayah Dummy 164;L;2
SISWA 287;Kota 165;13/09/2161;12345195;6789195;XII-B;XII;Jl. Dummy No.165;76501712255;;Ibu Dummy 165;Ayah Dummy 165;P;3
SISWA 288;Kota 166;31/10/2162;12345196;6789196;XII-A;XII;Jl. Dummy No.166;76466825955;;Ibu Dummy 166;Ayah Dummy 166;L;1
SISWA 289;Kota 167;18/12/2163;12345197;6789197;XII-B;XII;Jl. Dummy No.167;76431939655;;Ibu Dummy 167;Ayah Dummy 167;P;2
SISWA 290;Kota 168;03/02/2165;12345198;6789198;XII-A;XII;Jl. Dummy No.168;76397053355;;Ibu Dummy 168;Ayah Dummy 168;L;3
SISWA 291;Kota 169;23/03/2166;12345199;6789199;XII-B;XII;Jl. Dummy No.169;76362167055;;Ibu Dummy 169;Ayah Dummy 169;P;1
SISWA 292;Kota 170;10/05/2167;12345200;6789200;XII-A;XII;Jl. Dummy No.170;76327280755;;Ibu Dummy 170;Ayah Dummy 170;L;2
SISWA 293;Kota 171;26/06/2168;12345201;6789201;XII-B;XII;Jl. Dummy No.171;76292394455;;Ibu Dummy 171;Ayah Dummy 171;P;3
SISWA 294;Kota 172;13/08/2169;12345202;6789202;XII-A;XII;Jl. Dummy No.172;76257508155;;Ibu Dummy 172;Ayah Dummy 172;L;1
